cnt,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,days_since_2011
3542,FALL,2011,AUG,NO HOLIDAY,THU,WORKING DAY,MISTY,24.155849,77.1667,14.125811,236
4661,FALL,2011,AUG,NO HOLIDAY,FRI,WORKING DAY,GOOD,24.9,76.125,5.6254875,237
1115,FALL,2011,AUG,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,23.96,85,25.166339,238
4334,FALL,2011,AUG,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,25.231773,56.1765,20.412153,239
4634,FALL,2011,AUG,NO HOLIDAY,MON,WORKING DAY,GOOD,21.923349,55.4583,10.708275,240
5204,FALL,2011,AUG,NO HOLIDAY,TUE,WORKING DAY,GOOD,22.040849,54.8333,8.375536,241
5058,FALL,2011,AUG,NO HOLIDAY,WED,WORKING DAY,GOOD,22.863349,59.7917,5.5833311,242
5115,FALL,2011,SEP,NO HOLIDAY,THU,WORKING DAY,GOOD,22.785,63.9167,9.500332,243
4727,FALL,2011,SEP,NO HOLIDAY,FRI,WORKING DAY,MISTY,22.236651,72.7083,9.375243,244
4484,FALL,2011,SEP,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,23.450849,71.6667,12.416775,245
4940,FALL,2011,SEP,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,25.330849,74.2083,13.833289,246
3351,FALL,2011,SEP,HOLIDAY,MON,NO WORKING DAY,MISTY,23.646651,79.0417,14.250632,247
2710,FALL,2011,SEP,NO HOLIDAY,TUE,WORKING DAY,RAIN/SNOW/STORM,17.38,88.6957,23.044181,248
1996,FALL,2011,SEP,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,20.160849,91.7083,6.5003936,249
1842,FALL,2011,SEP,NO HOLIDAY,THU,WORKING DAY,RAIN/SNOW/STORM,21.793911,93.9565,12.914116,250
3544,FALL,2011,SEP,NO HOLIDAY,FRI,WORKING DAY,MISTY,22.55,89.7917,8.333393,251
5345,FALL,2011,SEP,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,23.02,75.375,10.291736,252
5046,FALL,2011,SEP,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,22.706651,71.375,7.708618,253
4713,FALL,2011,SEP,NO HOLIDAY,MON,WORKING DAY,GOOD,22.284356,69.2174,5.957171,254
4763,FALL,2011,SEP,NO HOLIDAY,TUE,WORKING DAY,GOOD,22.589151,71.25,9.500868,255
4785,FALL,2011,SEP,NO HOLIDAY,WED,WORKING DAY,GOOD,23.646651,69.7083,11.2091,256
3659,FALL,2011,SEP,NO HOLIDAY,THU,WORKING DAY,MISTY,19.1425,70.9167,18.166782,257
4760,FALL,2011,SEP,NO HOLIDAY,FRI,WORKING DAY,MISTY,14.050849,59.0417,11.000261,258
4511,FALL,2011,SEP,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,15.108349,71.8333,12.708225,259
4274,FALL,2011,SEP,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,15.8525,69.5,11.958361,260
4539,FALL,2011,SEP,NO HOLIDAY,MON,WORKING DAY,MISTY,17.810849,69,10.166714,261
3641,FALL,2011,SEP,NO HOLIDAY,TUE,WORKING DAY,MISTY,18.398349,88.125,9.041918,262
4352,FALL,2011,SEP,NO HOLIDAY,WED,WORKING DAY,MISTY,19.965,90,6.4590814,263
4795,FALL,2011,SEP,NO HOLIDAY,THU,WORKING DAY,MISTY,21.531651,90.2083,8.584375,264
2395,WINTER,2011,SEP,NO HOLIDAY,FRI,WORKING DAY,MISTY,20.630849,97.25,5.2505689,265
5423,WINTER,2011,SEP,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,20.513349,86.25,5.2516811,266
5010,WINTER,2011,SEP,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,21.805849,84.5,3.3754064,267
4630,WINTER,2011,SEP,NO HOLIDAY,MON,WORKING DAY,MISTY,22.510849,84.8333,7.4169,268
4120,WINTER,2011,SEP,NO HOLIDAY,TUE,WORKING DAY,MISTY,21.923349,88.5417,7.917457,269
3907,WINTER,2011,SEP,NO HOLIDAY,WED,WORKING DAY,MISTY,21.845,84.875,9.958143,270
4839,WINTER,2011,SEP,NO HOLIDAY,THU,WORKING DAY,GOOD,20.983349,69.9167,11.583161,271
5202,WINTER,2011,SEP,NO HOLIDAY,FRI,WORKING DAY,GOOD,18.515849,64.75,13.833825,272
2429,WINTER,2011,OKT,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,11.27,75.375,19.583832,273
2918,WINTER,2011,OKT,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,8.763349,79.1667,14.874871,274
3570,WINTER,2011,OKT,NO HOLIDAY,MON,WORKING DAY,MISTY,10.055849,76.0833,5.5841686,275
4456,WINTER,2011,OKT,NO HOLIDAY,TUE,WORKING DAY,GOOD,14.755849,71,13.792218,276
4826,WINTER,2011,OKT,NO HOLIDAY,WED,WORKING DAY,GOOD,17.301651,64.7917,11.87575,277
4765,WINTER,2011,OKT,NO HOLIDAY,THU,WORKING DAY,GOOD,15.225849,62.0833,9.041918,278
4985,WINTER,2011,OKT,NO HOLIDAY,FRI,WORKING DAY,GOOD,16.009151,68.4167,1.5002439,279
5409,WINTER,2011,OKT,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,16.518349,70.125,3.0420814,280
5511,WINTER,2011,OKT,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,17.419151,72.75,4.25115,281
5117,WINTER,2011,OKT,HOLIDAY,MON,NO WORKING DAY,GOOD,18.829151,73.375,2.8343814,282
4563,WINTER,2011,OKT,NO HOLIDAY,TUE,WORKING DAY,MISTY,18.633349,80.875,9.583814,283
2416,WINTER,2011,OKT,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,17.536651,90.625,16.62605,284
2913,WINTER,2011,OKT,NO HOLIDAY,THU,WORKING DAY,MISTY,19.690849,89.6667,9.499729,285
3644,WINTER,2011,OKT,NO HOLIDAY,FRI,WORKING DAY,MISTY,17.889151,71.625,15.000161,286
5217,WINTER,2011,OKT,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,15.813349,48.3333,17.291561,287
5041,WINTER,2011,OKT,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,16.048349,48.6667,18.875039,288
4570,WINTER,2011,OKT,NO HOLIDAY,MON,WORKING DAY,GOOD,17.105849,57.9583,11.750393,289
4748,WINTER,2011,OKT,NO HOLIDAY,TUE,WORKING DAY,MISTY,17.0275,70.1667,7.375829,290
2424,WINTER,2011,OKT,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,17.461733,89.5217,16.303713,291
4195,WINTER,2011,OKT,NO HOLIDAY,THU,WORKING DAY,GOOD,14.364151,63.625,28.292425,292
4304,WINTER,2011,OKT,NO HOLIDAY,FRI,WORKING DAY,GOOD,12.0925,57.4167,14.833532,293
4308,WINTER,2011,OKT,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,11.8575,62.9167,6.2086689,294
4381,WINTER,2011,OKT,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,11.818349,74.125,6.6673375,295
4187,WINTER,2011,OKT,NO HOLIDAY,MON,WORKING DAY,GOOD,13.776651,77.2083,7.959064,296
4687,WINTER,2011,OKT,NO HOLIDAY,TUE,WORKING DAY,GOOD,14.168349,62.2917,11.166086,297
3894,WINTER,2011,OKT,NO HOLIDAY,WED,WORKING DAY,MISTY,14.755849,72.0417,9.959014,298
2659,WINTER,2011,OKT,NO HOLIDAY,THU,WORKING DAY,MISTY,14.09,81.2917,13.250121,299
3747,WINTER,2011,OKT,NO HOLIDAY,FRI,WORKING DAY,MISTY,7.549151,58.5833,15.375093,300
627,WINTER,2011,OKT,NO HOLIDAY,SAT,NO WORKING DAY,RAIN/SNOW/STORM,3.945849,88.25,23.541857,301
3331,WINTER,2011,OKT,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,7.000849,62.375,11.833339,302
3669,WINTER,2011,OKT,NO HOLIDAY,MON,WORKING DAY,GOOD,7.98,70.3333,7.12545,303
4068,WINTER,2011,NOV,NO HOLIDAY,TUE,WORKING DAY,GOOD,10.839151,68.375,9.083257,304
4186,WINTER,2011,NOV,NO HOLIDAY,WED,WORKING DAY,GOOD,9.7425,71.875,5.5001439,305
3974,WINTER,2011,NOV,NO HOLIDAY,THU,WORKING DAY,GOOD,11.191651,70.2083,9.166739,306
4046,WINTER,2011,NOV,NO HOLIDAY,FRI,WORKING DAY,MISTY,10.956651,62.25,18.209193,307
3926,WINTER,2011,NOV,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,7.353349,51.9167,12.667154,308
3649,WINTER,2011,NOV,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,8.371651,73.4583,6.1676314,309
4035,WINTER,2011,NOV,NO HOLIDAY,MON,WORKING DAY,GOOD,10.565,75.875,3.834075,310
4205,WINTER,2011,NOV,NO HOLIDAY,TUE,WORKING DAY,GOOD,11.191651,72.1667,4.6255125,311
4109,WINTER,2011,NOV,NO HOLIDAY,WED,WORKING DAY,GOOD,10.8,75.8333,4.1671186,312
2933,WINTER,2011,NOV,NO HOLIDAY,THU,WORKING DAY,MISTY,9.86,81.3333,12.667489,313
3368,WINTER,2011,NOV,HOLIDAY,FRI,NO WORKING DAY,GOOD,7.235849,44.625,21.083225,314
4067,WINTER,2011,NOV,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,8.763349,55.2917,14.208154,315
3717,WINTER,2011,NOV,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,12.719151,45.8333,18.875307,316
4486,WINTER,2011,NOV,NO HOLIDAY,MON,WORKING DAY,GOOD,16.91,58.7083,20.541932,317
4195,WINTER,2011,NOV,NO HOLIDAY,TUE,WORKING DAY,MISTY,16.91,68.875,13.375411,318
1817,WINTER,2011,NOV,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,13.463349,93,9.167543,319
3053,WINTER,2011,NOV,NO HOLIDAY,THU,WORKING DAY,MISTY,8.058349,57.5833,20.459254,320
3392,WINTER,2011,NOV,NO HOLIDAY,FRI,WORKING DAY,GOOD,4.885849,41,11.291711,321
3663,WINTER,2011,NOV,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,7.470849,50.2083,15.041232,322
3520,WINTER,2011,NOV,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,13.776651,68.4583,12.45865,323
2765,WINTER,2011,NOV,NO HOLIDAY,MON,WORKING DAY,RAIN/SNOW/STORM,13.0325,91,9.249618,324
1607,WINTER,2011,NOV,NO HOLIDAY,TUE,WORKING DAY,RAIN/SNOW/STORM,11.583349,96.25,7.959064,325
2566,WINTER,2011,NOV,NO HOLIDAY,WED,WORKING DAY,MISTY,12.719151,75.7917,22.500275,326
1495,WINTER,2011,NOV,HOLIDAY,THU,NO WORKING DAY,GOOD,9.546651,54.9167,11.209368,327
2792,WINTER,2011,NOV,NO HOLIDAY,FRI,WORKING DAY,GOOD,9.625,64.375,6.6260186,328
3068,WINTER,2011,NOV,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,9.664151,68.1667,4.5841936,329
3071,WINTER,2011,NOV,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,13.580849,69.8333,13.999918,330
3867,WINTER,2011,NOV,NO HOLIDAY,MON,WORKING DAY,GOOD,15.663466,74.3043,9.522174,331
2914,WINTER,2011,NOV,NO HOLIDAY,TUE,WORKING DAY,MISTY,13.541651,83.0833,17.292164,332
3613,WINTER,2011,NOV,NO HOLIDAY,WED,WORKING DAY,GOOD,7.275,61.3333,18.167586,333
3727,WINTER,2011,DEZ,NO HOLIDAY,THU,WORKING DAY,GOOD,6.6875,52.4583,14.750586,334
3940,WINTER,2011,DEZ,NO HOLIDAY,FRI,WORKING DAY,GOOD,6.765849,62.5833,6.750518,335
3614,WINTER,2011,DEZ,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,6.060849,61.2917,6.4174811,336
3485,WINTER,2011,DEZ,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,7.549151,77.5833,5.6252061,337
3811,WINTER,2011,DEZ,NO HOLIDAY,MON,WORKING DAY,MISTY,10.134151,82.7083,4.1679561,338
2594,WINTER,2011,DEZ,NO HOLIDAY,TUE,WORKING DAY,RAIN/SNOW/STORM,13.7375,94.9583,15.583061,339
705,WINTER,2011,DEZ,NO HOLIDAY,WED,WORKING DAY,RAIN/SNOW/STORM,11.27,97.0417,17.833725,340
3322,WINTER,2011,DEZ,NO HOLIDAY,THU,WORKING DAY,GOOD,4.494151,58,16.083886,341
3620,WINTER,2011,DEZ,NO HOLIDAY,FRI,WORKING DAY,GOOD,5.669151,69.5833,5.5420189,342
3190,WINTER,2011,DEZ,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,4.925,50.75,15.625807,343
2743,WINTER,2011,DEZ,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,2.379151,49,4.4582939,344
3310,WINTER,2011,DEZ,NO HOLIDAY,MON,WORKING DAY,GOOD,3.201651,67.0833,4.25115,345
3523,WINTER,2011,DEZ,NO HOLIDAY,TUE,WORKING DAY,GOOD,5.2775,59,9.41685,346
3740,WINTER,2011,DEZ,NO HOLIDAY,WED,WORKING DAY,MISTY,6.9225,66.375,4.0842061,347
3709,WINTER,2011,DEZ,NO HOLIDAY,THU,WORKING DAY,MISTY,11.8575,63.4167,17.958814,348
3577,WINTER,2011,DEZ,NO HOLIDAY,FRI,WORKING DAY,MISTY,9.625,50.0417,17.458525,349
2739,WINTER,2011,DEZ,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,4.141651,56.0833,16.292189,350
2431,WINTER,2011,DEZ,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,3.201651,58.625,11.375193,351
3403,WINTER,2011,DEZ,NO HOLIDAY,MON,WORKING DAY,GOOD,5.003349,63.75,11.584032,352
3750,WINTER,2011,DEZ,NO HOLIDAY,TUE,WORKING DAY,MISTY,10.134151,59.5417,4.1252436,353
2660,SPRING,2011,DEZ,NO HOLIDAY,WED,WORKING DAY,MISTY,12.131651,85.8333,14.8338,354
3068,SPRING,2011,DEZ,NO HOLIDAY,THU,WORKING DAY,MISTY,11.896651,75.75,3.167425,355
2209,SPRING,2011,DEZ,NO HOLIDAY,FRI,WORKING DAY,GOOD,9.546651,68.625,18.374482,356
1011,SPRING,2011,DEZ,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,6.2175,54.25,12.750368,357
754,SPRING,2011,DEZ,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,4.914801,68.1304,10.391097,358
1317,SPRING,2011,DEZ,HOLIDAY,MON,NO WORKING DAY,GOOD,7.121733,50.6957,16.044155,359
1162,SPRING,2011,DEZ,NO HOLIDAY,TUE,WORKING DAY,MISTY,7.275,76.25,12.62615,360
2302,SPRING,2011,DEZ,NO HOLIDAY,WED,WORKING DAY,GOOD,6.05911,50.3913,19.695387,361
2423,SPRING,2011,DEZ,NO HOLIDAY,THU,WORKING DAY,GOOD,3.671651,57.4167,8.000604,362
2999,SPRING,2011,DEZ,NO HOLIDAY,FRI,WORKING DAY,GOOD,6.648349,63.6667,9.000579,363
2485,SPRING,2011,DEZ,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,11.27,61.5833,14.750318,364
2294,SPRING,2012,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,9.39,69.25,12.875189,365
1951,SPRING,2012,JAN,HOLIDAY,MON,NO WORKING DAY,GOOD,4.833021,38.1304,22.087555,366
2236,SPRING,2012,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,-0.95,44.125,24.499957,367
2368,SPRING,2012,JAN,NO HOLIDAY,WED,WORKING DAY,MISTY,-2.9475,41.4583,12.3749,368
3272,SPRING,2012,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,4.494151,52.4167,8.709129,369
4098,SPRING,2012,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,7.705849,54.2083,11.249836,370
4521,SPRING,2012,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,10.486651,53.1667,11.708786,371
3425,SPRING,2012,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,7.8625,46.5,12.833314,372
2376,SPRING,2012,JAN,NO HOLIDAY,MON,WORKING DAY,MISTY,2.535849,70.1667,6.6263,373
3598,SPRING,2012,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,6.508712,64.6522,12.565984,374
2177,SPRING,2012,JAN,NO HOLIDAY,WED,WORKING DAY,MISTY,4.885849,84.75,8.791807,375
4097,SPRING,2012,JAN,NO HOLIDAY,THU,WORKING DAY,MISTY,9.9775,80.2917,12.124789,376
3214,SPRING,2012,JAN,NO HOLIDAY,FRI,WORKING DAY,GOOD,4.885849,50.75,25.333236,377
2493,SPRING,2012,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,0.459999999999999,45.75,12.541261,378
2311,SPRING,2012,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-0.166651,41.9167,16.834286,379
2298,SPRING,2012,JAN,HOLIDAY,MON,NO WORKING DAY,GOOD,0.93,52.25,15.500986,380
2935,SPRING,2012,JAN,NO HOLIDAY,TUE,WORKING DAY,MISTY,9.533021,71.6087,23.39171,381
3376,SPRING,2012,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,6.256651,44.3333,27.833743,382
3292,SPRING,2012,JAN,NO HOLIDAY,THU,WORKING DAY,GOOD,0.93,49.75,14.750586,383
3163,SPRING,2012,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,2.2225,45,13.58425,384
1301,SPRING,2012,JAN,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,0.146650999999999,83.125,14.917014,385
1977,SPRING,2012,JAN,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,-0.3625,79.625,13.375746,386
2432,SPRING,2012,JAN,NO HOLIDAY,MON,WORKING DAY,MISTY,2.261651,91.125,7.417436,387
4339,SPRING,2012,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,8.0975,83.5833,8.292389,388
4270,SPRING,2012,JAN,NO HOLIDAY,WED,WORKING DAY,GOOD,5.825849,64.375,10.791757,389
4075,SPRING,2012,JAN,NO HOLIDAY,THU,WORKING DAY,MISTY,8.058349,76.9583,4.9175186,390
3456,SPRING,2012,JAN,NO HOLIDAY,FRI,WORKING DAY,MISTY,11.975,74.125,22.958689,391
4023,SPRING,2012,JAN,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,6.844151,54.3333,14.125543,392
3243,SPRING,2012,JAN,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,5.2775,31.125,16.08335,393
3624,SPRING,2012,JAN,NO HOLIDAY,MON,WORKING DAY,GOOD,4.650849,40.0833,14.458064,394
4509,SPRING,2012,JAN,NO HOLIDAY,TUE,WORKING DAY,GOOD,10.33,41.6667,17.541739,395
4579,SPRING,2012,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,14.050849,50.7917,12.667489,396
3761,SPRING,2012,FEB,NO HOLIDAY,THU,WORKING DAY,MISTY,10.760849,67.2917,12.541529,397
4151,SPRING,2012,FEB,NO HOLIDAY,FRI,WORKING DAY,GOOD,6.726651,52.6667,11.959232,398
2832,SPRING,2012,FEB,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,4.415849,77.9583,8.167032,399
2947,SPRING,2012,FEB,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,4.494151,68.7917,11.791732,400
3784,SPRING,2012,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,5.282623,62.2174,10.3046,401
4375,SPRING,2012,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,8.645849,49.625,9.874393,402
2802,SPRING,2012,FEB,NO HOLIDAY,WED,WORKING DAY,MISTY,4.063349,72.2917,8.959307,403
3830,SPRING,2012,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,4.455,56.2083,13.000479,404
3831,SPRING,2012,FEB,NO HOLIDAY,FRI,WORKING DAY,MISTY,5.199151,54,7.834243,405
2169,SPRING,2012,FEB,NO HOLIDAY,SAT,NO WORKING DAY,RAIN/SNOW/STORM,2.535849,73.125,19.416332,406
1529,SPRING,2012,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,-2.0075,46.4583,27.417204,407
3422,SPRING,2012,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,2.4575,41.125,11.207961,408
3922,SPRING,2012,FEB,NO HOLIDAY,TUE,WORKING DAY,MISTY,7.000849,50.875,9.458993,409
4169,SPRING,2012,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,8.371651,53.125,12.1672,410
3005,SPRING,2012,FEB,NO HOLIDAY,THU,WORKING DAY,MISTY,6.883349,75.2917,6.125475,411
4154,SPRING,2012,FEB,NO HOLIDAY,FRI,WORKING DAY,GOOD,8.136651,63.4583,13.791682,412
4318,SPRING,2012,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,8.293349,53.4583,12.792243,413
2689,SPRING,2012,FEB,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,5.16,51.5833,16.958504,414
3129,SPRING,2012,FEB,HOLIDAY,MON,NO WORKING DAY,GOOD,5.16,50.7826,15.348561,415
3777,SPRING,2012,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,5.527822,59.4348,13.783039,416
4773,SPRING,2012,FEB,NO HOLIDAY,WED,WORKING DAY,GOOD,10.604151,56.7917,15.709557,417
5062,SPRING,2012,FEB,NO HOLIDAY,THU,WORKING DAY,GOOD,13.345849,55.4583,12.791171,418
3487,SPRING,2012,FEB,NO HOLIDAY,FRI,WORKING DAY,MISTY,11.1525,73.75,15.916989,419
2732,SPRING,2012,FEB,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,5.669151,39.5833,28.250014,420
3389,SPRING,2012,FEB,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,5.120849,41,13.750343,421
4322,SPRING,2012,FEB,NO HOLIDAY,MON,WORKING DAY,GOOD,9.233349,49.0833,17.958211,422
4363,SPRING,2012,FEB,NO HOLIDAY,TUE,WORKING DAY,GOOD,8.880849,39.5833,12.958939,423
1834,SPRING,2012,FEB,NO HOLIDAY,WED,WORKING DAY,MISTY,8.184356,80.4783,12.000839,424
4990,SPRING,2012,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,14.834151,61.5417,15.208129,425
3194,SPRING,2012,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,8.606651,65.7083,9.708568,426
4066,SPRING,2012,MAR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,11.465849,62.125,10.792293,427
3423,SPRING,2012,MAR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,7.314151,40.3333,22.416257,428
3333,SPRING,2012,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,3.436651,50.625,15.333486,429
3956,SPRING,2012,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,4.141651,45.6667,13.458625,430
4916,SPRING,2012,MAR,NO HOLIDAY,WED,WORKING DAY,GOOD,10.995849,51.3333,23.167193,431
5382,SPRING,2012,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,16.7925,56.75,29.584721,432
4569,SPRING,2012,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,11.309151,40.7083,27.7916,433
4118,SPRING,2012,MAR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,5.5125,35.0417,15.12525,434
4911,SPRING,2012,MAR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,9.001733,47.6957,14.913329,435
5298,SPRING,2012,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,13.933349,48.9167,13.916771,436
5847,SPRING,2012,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,18.555,61.75,15.87565,437
6312,SPRING,2012,MAR,NO HOLIDAY,WED,WORKING DAY,GOOD,18.9075,50.7083,7.709154,438
6192,SPRING,2012,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,18.2025,57.9583,10.042161,439
4378,SPRING,2012,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,12.484151,84.2083,7.583864,440
7836,SPRING,2012,MAR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,16.165849,75.5833,7.417168,441
5892,SPRING,2012,MAR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,14.2075,81,8.501161,442
6153,SPRING,2012,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,17.615,72.875,10.875239,443
6093,SPRING,2012,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,18.359151,80.7917,8.125157,444
6230,SUMMER,2012,MAR,NO HOLIDAY,WED,WORKING DAY,MISTY,16.988349,82.125,6.0004061,445
6871,SUMMER,2012,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,18.045849,83.125,7.876654,446
8362,SUMMER,2012,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,20.278349,69.4167,7.7921,447
3372,SUMMER,2012,MAR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,15.6175,88.5417,12.916461,448
4996,SUMMER,2012,MAR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,12.5625,88.0833,14.791925,449
5558,SUMMER,2012,MAR,NO HOLIDAY,MON,WORKING DAY,GOOD,12.954151,47.7917,25.917007,450
5102,SUMMER,2012,MAR,NO HOLIDAY,TUE,WORKING DAY,GOOD,7.196651,29,12.541864,451
5698,SUMMER,2012,MAR,NO HOLIDAY,WED,WORKING DAY,GOOD,14.755849,48.125,19.541957,452
6133,SUMMER,2012,MAR,NO HOLIDAY,THU,WORKING DAY,GOOD,15.225849,43.9167,21.41655,453
5459,SUMMER,2012,MAR,NO HOLIDAY,FRI,WORKING DAY,MISTY,9.39,58.0833,9.250489,454
6235,SUMMER,2012,MAR,NO HOLIDAY,SAT,NO WORKING DAY,MISTY,11.935849,73.8333,16.791339,455
6041,SUMMER,2012,APR,NO HOLIDAY,SUN,NO WORKING DAY,MISTY,12.014151,67.625,11.541889,456
5936,SUMMER,2012,APR,NO HOLIDAY,MON,WORKING DAY,GOOD,12.393911,50.4348,20.913313,457
6772,SUMMER,2012,APR,NO HOLIDAY,TUE,WORKING DAY,GOOD,13.933349,39.6667,6.708911,458
6436,SUMMER,2012,APR,NO HOLIDAY,WED,WORKING DAY,GOOD,17.458349,46.9583,12.125325,459
6457,SUMMER,2012,APR,NO HOLIDAY,THU,WORKING DAY,GOOD,12.445,37.4167,14.708443,460
6460,SUMMER,2012,APR,NO HOLIDAY,FRI,WORKING DAY,GOOD,10.956651,37.7083,20.125996,461
6857,SUMMER,2012,APR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,12.5625,25.4167,18.416357,462
5169,SUMMER,2012,APR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,15.5,27.5833,15.583932,463
5585,SUMMER,2012,APR,NO HOLIDAY,MON,WORKING DAY,GOOD,14.990849,31.75,23.999132,464
5918,SUMMER,2012,APR,NO HOLIDAY,TUE,WORKING DAY,GOOD,12.993349,43.5,16.708125,465
4862,SUMMER,2012,APR,NO HOLIDAY,WED,WORKING DAY,GOOD,8.388712,46.9565,19.783358,466
5409,SUMMER,2012,APR,NO HOLIDAY,THU,WORKING DAY,GOOD,10.6825,46.625,19.458743,467
6398,SUMMER,2012,APR,NO HOLIDAY,FRI,WORKING DAY,GOOD,12.7975,40.8333,10.416557,468
7460,SUMMER,2012,APR,NO HOLIDAY,SAT,NO WORKING DAY,GOOD,15.265,50.2917,12.791439,469
7132,SUMMER,2012,APR,NO HOLIDAY,SUN,NO WORKING DAY,GOOD,20.513349,50.7917,15.083643,470
